id,name
1440,Alen Simonyan
1459,Hakob Arshakyan
1453,Ruben Rubinyan
1452,Tigran Abrahamyan
1468,Eduard Aghajanyan
1510,Hovik Aghazaryan
1499,Vahagn Aleksanyan
1455,Gurgen Arsenyan
1537,Matevos Asatryan
1504,Hakob Aslanyan
1485,Tadevos Avetisyan
1508,Narek Babayan
1535,Lusine Badalyan
1536,Sergey Bagratyan
1520,Rustam Bakoyan
1507,Zaruhi Batoyan
1475,Armen Charchyan
1493,Davit Danielyan
1445,Arpine Davoyan
1519,Sisak Gabrielyan
1512,Vilen Gabrielyan
1443,Lilit Galstyan
1514,Meri Galstyan
1526,Tatevik Gasparyan
1441,Armen Gevorgyan
1496,Narek Ghahramanyan
1533,Vahe Ghalumyan
1525,Alkhas Ghazaryan
1517,Marina Ghazaryan
1505,Sona Ghazaryan
1538,Taguhi Ghazaryan
1458,Artur Ghazinyan
1435,Anna Grigoryan
1495,Hripsime Grigoryan
1545,Martun Grigoryan
1500,Narek Grigoryan
1542,Edgar Hakobyan
1498,Hasmik Hakobyan
1539,Hrachya Hakobyan
1528,Vagharshak Hakobyan
1439,Vahe Hakobyan
1511,Karen Hambardzumyan
1524,Knyaz Hasanov
1484,Vahagn Hovakimyan
1515,Artur Hovhannisyan
1481,Hripsime Hunanyan
1466,Arusyak Julhakyan
1472,Maria Karapetyan
1523,Armen Khachatryan
1491,Artur Khachatryan
1501,Vigen Khachatryan
1465,Agnesa Khamoyan
1487,Sargis Khandanyan
1543,Lilit Kirakosyan
1477,Yelena Kirakosyan
1470,Andranik Kocharyan
1463,Hayk Konjoryan
1540,Aspram Krpeyan
1482,Armenuhi Kyureghyan
1447,Hayk Mamijanyan
1534,Arusyak Manavazyan
1492,Aregnaz Manukyan
1462,Gegham Manukyan
1438,Taron Margaryan
1457,Gurgen Melkonyan
1456,Artsvik Minasyan
1502,Lilit Minasyan
1497,Zemfira Mirzoeva
1442,Anna Mkrtchyan
1518,Aren Mkrtchyan
1494,Gegham Nazaryan
1437,Lena Nazaryan
1450,Seyran Ohanyan
1506,Emma Palyan
1489,Gevorg Papoyan
1531,Kristine Poghosyan
1490,Mariam Poghosyan
1446,Armen Rustamyan
1433,Ishkhan Saghatelyan
1522,Aleksey Sandikov
1486,Artur Sargsyan
1530,Hayk Sargsyan
1521,Trdat Sargsyan
1546,Karen Sarukhanyan
1474,Ashot Simonyan
1471,Hripsime Stambulyan
1509,Lilit Stepanyan
1434,Khachatur Sukiasyan
1467,Andranik Tevanyan
1461,Heriknaz Tigranyan
1448,Arsen Torosyan
1476,Shirak Torosyan
1449,Taguhi Tovmasyan
1478,Hayk Tsirunyan
1541,Mikayel Tumasyan
1473,Babken Tunyan
1464,Aghvan Vardanyan
1454,Elinar Vardanyan
1460,Kristine Vardanyan
1480,Tsovinar Vardanyan
1503,Vladimir Vardanyan
1483,Aram Vardevanyan
1544,Gayane Yeghiazaryan
1527,Arman Yeghoyan
1444,Ishkhan Zakaryan
1469,Mkhitar Zakaryan
1516,Narek Zeynalyan
