id,name,item
1367,Aleksey Sandikov,Q60665863
1304,Andranik Kocharyan,Q61105804
1285,Anush Begloian,Q63538306
1288,Artur Grigoryan,Q21211084
1363,Arusyak Julhakyan,Q63568489
1356,Edvard Andreasyan,Q60716597
1305,Hovhannes Igityan,Q4197352
1382,Karen Sarukhanyan,Q57078668
1283,Lusine Badalyan,Q58806349
1405,Sergey Movsisyan,Q61105723
1311,Aleksandr Avetisyan,Q64846156
1389,Alen Simonyan,Q20513503
1339,Ani Samsonyan,Q60426016
1425,Anna Grigoryan,Q107343092
1299,Anna Karapetyan,Q64846098
1345,Anna Kostanyan,Q61993405
1431,Ara Melikjanyan,Q107472539
1380,Ararat Mirzoyan,Q31196321
1312,Arayik Aghababyan,Q21209630
1410,Aren Mkrtchyan,Q60421069
1338,Arkadi Khachatryan,Q60717461
1290,Arman Abovyan,Q60457683
1336,Arman Babajanyan,Q60537537
1308,Arman Boshyan,Q60518292
1309,Arman Yeghoyan,Q63246520
1388,Armen Khachatryan,Q63242143
1343,Armen Yeghiazaryan,Q60717616
1411,Arpine Davoyan,Q60421274
1369,Arsen Mikhaylov,Q31196357
1327,Artak Manukyan,Q61865865
1412,Artashes Petrosyan,Q64846088
1414,Arthur Hovhannisyan,Q100715776
1320,Artur Dallakyan,Q85979146
1361,Artur Davtyan,Q64846084
1415,Artur Manukyan,Q100715791
1300,Artyom Tsarukyan,Q61105779
1342,Babken Tunyan,Q61105798
1325,Davit Manukyan,Q85979158
1354,Edmon Marukyan,Q5338820
1323,Eduard Babayan,Q60681821
1426,Emma Palyan,Q107343138
1284,Gagik Tsarukyan,Q718634
1353,Gevorg Gorgisyan,Q30196500
1387,Gevorg Papoyan,Q63433373
1294,Gevorg Petrosyan,Q20509405
1340,Gor Gevorgyan,Q64846114
1418,Gor Yeranyan,Q100715795
1352,Gurgen Baghdasaryan,Q60718118
1424,Hakob Aslanyan,Q107343086
1391,Hakob Simidyan,Q60492375
1341,Harutyun Babayan,Q60717057
1303,Hayk Gevorgyan,Q85979053
1366,Hayk Konjoryan,Q49475735
1407,Hayk Sargsyan,Q64846090
1420,Hayk Tsirunyan,Q107343175
1287,Heriknaz Tigranyan,Q64846126
1321,Hovhannes Hovhannisyan,Q64846091
1400,Hovik Aghazaryan,Q59351515
1384,Hrachya Hakobyan,Q60436143
1359,Hrant Ayvazyan,Q60716799
1316,Hrant Madatyan,Q54920679
1386,Hripsime Grigoryan,Q64846128
1293,Iveta Tonoyan,Q57082035
1326,Janibek Hayrapetyan,Q61105744
1310,Kajik Gevorgyan,Q65665389
1423,Karen Grigoryan,Q107343104
1393,Karen Hambardzumyan,Q56027491
1347,Karen Simonyan,Q60737366
1301,Karine Poghosyan,Q65665296
1371,Knyaz Hasanov,Q30131111
1324,Koryun Mkrtchyan,Q64846125
1313,Kristine Poghosyan,Q64846168
1372,Lena Nazaryan,Q30195988
1376,Lilit Makunts,Q53252201
1381,Lilit Stepanyan,Q64846124
1280,Maria Karapetyan,Q64846131
1404,Matevos Asatryan,Q61754920
1330,Meri Galstyan,Q61774810
1286,Mikayel Melkumyan,Q52552037
1362,Mikayel Zolyan,Q61774946
1419,Mkhchyan Karapet,Q100715796
1370,Mkhitar Hayrapetyan,Q53146934
1333,Naira Zohrabyan,Q4193010
1417,Narek Ghahramanyan,Q100715793
1421,Narek Grigoryan,Q107343111
1332,Narek Zeynalyan,Q64846115
1385,Nazeli Baghdasaryan,Q64846145
1374,Nikolay Baghdasaryan,Q60434460
1314,Nora Arustamyan,Q31196740
1429,Roman Muradyan,Q107343120
1279,Ruben Rubinyan,Q59103045
1357,Rubik Stepanyan,Q60718855
1365,Rustam Bakoyan,Q60666279
1351,Sargis Aleksanyan,Q60716350
1364,Sargis Khandanyan,Q63762700
1360,Sarik Minasyan,Q60718059
1375,Sasun Mikayelyan,Q4292960
1394,Sedrak Tevonyan,Q64846149
1297,Sergey Bagratyan,Q21438195
1298,Shake Isayan,Q57695635
1296,Shirak Torosyan,Q4461260
1399,Sipan Pashinyan,Q60492738
1428,Siraq Sargsyan,Q107343169
1335,Sisak Gabrielyan,Q64846150
1383,Sofia Hovsepyan,Q65095467
1302,Soghomon Soghomonyan,Q65914170
1322,Sona Ghazaryan,Q64846153
1346,Sos Avetisyan,Q64762106
1349,Srbuhi Grigoryan,Q60717242
1416,Stepan Stepanyan,Q98804376
1318,Taguhi Ghazaryan,Q61590701
1409,Taguhi Tovmasyan,Q64846123
1358,Taron Simonyan,Q60718362
1397,Tatevik Gasparyan,Q64691639
1344,Tatevik Hayrapetyan,Q62086755
1307,Tigran Stepanyan,Q55004586
1289,Tigran Urikhanyan,Q19763698
1350,Tsovinar Vardanyan,Q63215671
1379,Vagharshak Hakobyan,Q63892216
1427,Vahagn Aleksanyan,Q107343072
1378,Vahagn Hovakimyan,Q60435455
1291,Vahe Enfiajyan,Q7908604
1396,Vahe Ghalumyan,Q54861572
1377,Vahe Hovhannisyan,Q25918154
1422,Vanik Oghanyan,Q107343126
1413,Vardan Atabekyan,Q65645800
1329,Vardan Ghukasyan,Q4151751
1306,Vardan Vardanyan,Q4103706
1331,Vardevan Grigoryan,Q4149419
1402,Viktor Yengibaryan,Q60602820
1315,Vladimir Vardanyan,Q65665479
1292,Yeghishe Soghomonyan,Q65225319
